original label,tagset,ahu,hvac_zone,floor,room,unit,parsed tagset
Effective RA CO2dac1AV004,Return Air CO2 Sensor,,1,,,4,Effective_RA_CO_dac_AV
Effective RA CO2dac2AV004,Return Air CO2 Sensor,,2,,,4,Effective_RA_CO_dac_AV
Effective RA CO2dac3AV004,Return Air CO2 Sensor,,3,,,4,Effective_RA_CO_dac_AV
RMI516 Space CO2 Concentration Zone 2,CO2 Sensor,,2,,516,,RMI_Space_CO_Concentration_Zone
Return Air CO2 Sensordac1UIP36,Return Air CO2 Sensor,,,1,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2 Sensordac2UIP36,Return Air CO2 Sensor,,,2,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2 Sensordac3UIP36,Return Air CO2 Sensor,,,3,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2scc2UIP17,Return Air CO2 Sensor,,2,2,,17,Return_Air_CO_scc_UIP
Space  CO2 RMI206,CO2 Sensor,,,,206,,Space_CO_RMI
Space CO2 Concentration Local,CO2 Sensor,,,,,,Space_CO_Concentration_Local
Space CO2 Concentration RMI050,CO2 Sensor,,,,50,,Space_CO_Concentration_RMI
Space CO2 Concentration Zone 2 RMI230,CO2 Sensor,,2,,230,,Space_CO_Concentration_Zone_RMI
Space CO2 Room 513,CO2 Sensor,,,,513,,Space_CO_Room
Space CO2 level RM242,CO2 Sensor,,,,242,,Space_CO_level_RM
rmi514 Space CO2 Concentration,CO2 Sensor,,,,514,,rmi_Space_CO_Concentration
CB Flow Meter RMI308,Discharge Air Flow,,,,308,,CB_Flow_Meter_RMI
Discharge Air Flow,Discharge Air Flow,,,,,,Discharge_Air_Flow
Nominal Air Flow Status,Discharge Air Flow,,,,,,Nominal_Air_Flow_Status
Return Air CFM,Return Air Flow Sensor,,,,,,Return_Air_CFM
Return Airflow CFM,Return Air Flow Sensor,,,,,,Return_Airflow_CFM
Return Airflow,Return Air Flow Sensor,,,,,,Return_Airflow
ventOptVavAirflowGross1st Floor Chilled Beam VAS2,Discharge Air Flow Sensor,,2,1,,,vent_Opt_Vav_Airflow_Gross_st_Floor_Chilled_Beam_VAS
ventOptVavAirflowGross1st Foor Perimeter Devices VAS1,Discharge Air Flow Sensor,,1,1,,,vent_Opt_Vav_Airflow_Gross_st_Foor_Perimeter_Devices_VAS
ventOptVavAirflowGross2nd Floor Chilled Beam Source VAS2,Discharge Air Flow Sensor,,2,2,,,vent_Opt_Vav_Airflow_Gross_nd_Floor_Chilled_Beam_Source_VAS
ventOptVavAirflowGross2nd Floor Perimeter Devices VAS1,Discharge Air Flow Sensor,,1,2,,,vent_Opt_Vav_Airflow_Gross_nd_Floor_Perimeter_Devices_VAS
ventOptVavAirflowGross5th Floor Chilled Beam VAS1,Discharge Air Flow Sensor,,1,5,,,vent_Opt_Vav_Airflow_Gross_th_Floor_Chilled_Beam_VAS
ventOptVavAirflowGross5th Floor Perimeter Devices VAS2,Discharge Air Flow Sensor,,2,5,,,vent_Opt_Vav_Airflow_Gross_th_Floor_Perimeter_Devices_VAS
ventOptVavAirflowGrossBasement Perimeter Devices2,Discharge Air Flow Sensor,,2,,,,vent_Opt_Vav_Airflow_Gross_Basement_Perimeter_Devices
ventOptVavAirflowGrossChilled Beam Source VAS3,Discharge Air Flow Sensor,,3,,,,vent_Opt_Vav_Airflow_Gross_Chilled_Beam_Source_VAS
1st Floor Avg Space Humidity,Humidity Sensor,,,1,,,st_Floor_Avg_Space_Humidity
2nd Floor Avg Space Humidity,Humidity Sensor,,,2,,,nd_Floor_Avg_Space_Humidity
5th Floor Avg Space Humidity,Humidity Sensor,,,5,,,th_Floor_Avg_Space_Humidity
Corridor Humidity BAS,Humidity Sensor,,,,,,Corridor_Humidity_BAS
DA Humiditydac4UIP17,Discharge Air Humidity Sensor,,4,,,17,DA_Humiditydac_UIP
Discharge Air Humiditydac1UIP09,Discharge Air Humidity Sensor,,1,,,9,Discharge_Air_Humiditydac_UIP
Discharge Air Humiditydac2UIP09,Discharge Air Humidity Sensor,,2,,,9,Discharge_Air_Humiditydac_UIP
Discharge Air Humiditydac3UIP09,Discharge Air Humidity Sensor,,3,,,9,Discharge_Air_Humiditydac_UIP
East Space Humidityscc2UIP19,Humidity Sensor,,2,,,19,East_Space_Humidityscc_UIP
Enter CDQ Regen Humidityscc2UIP24,Humidity Sensor,,2,,,24,Enter_CDQ_Regen_Humidityscc_UIP
Exhaust Air Humiditydac4UIP21,Exhaust Air Humidity Sensor,,4,,,21,Exhaust_Air_Humiditydac_UIP
Humidity 1,Humidity Sensor,,1,,,,Humidity
Humidity Corr NESHS,Humidity Sensor,,,,,,Humidity_Corr_NESHS
Humidity Zone 1 RMI207,Humidity Sensor,,1,,207,,Humidity_Zone_RMI
Humidity Zone 1 RMI212,Humidity Sensor,,1,,212,,Humidity_Zone_RMI
Lab Humidity RM I228,Humidity Sensor,,,,228,,Lab_Humidity_RM_I
Outdoor Air Humiditypgm1UIP03,Outside Air Humidity,,1,,,3,Outdoor_Air_Humiditypgm_UIP
RMIC160 Space Relative Humidity Local,Room Humidity Sensor,,,,160,,RMIC_Space_Relative_Humidity_Local
Return Air Humiditydac1UIP27,Return Air Humidity Sensor,,1,,,27,Return_Air_Humiditydac_UIP
Return Air Humiditydac2UIP27,Return Air Humidity Sensor,,2,,,27,Return_Air_Humiditydac_UIP
Return Air Humiditydac3UIP21,Return Air Humidity Sensor,,3,,,21,Return_Air_Humiditydac_UIP
Return Air Humidityscc2UIP14,Return Air Humidity Sensor,,2,,,14,Return_Air_Humidityscc_UIP
Space Humidity Active,Humidity Sensor,,,,,,Space_Humidity_Active
Space Humidity Activedac1,Humidity Sensor,,1,,,,Space_Humidity_Activedac
Space Humidity Activedac2,Humidity Sensor,,2,,,,Space_Humidity_Activedac
Space Humidity Activedac3,Humidity Sensor,,3,,,,Space_Humidity_Activedac
Space Humidity Activedac4,Humidity Sensor,,4,,,,Space_Humidity_Activedac
Space Humidity Activescc2AV019,Humidity Sensor,,2,,,19,Space_Humidity_Activescc_AV
Space Humidity BAS,Humidity Sensor,,,,,,Space_Humidity_BAS
Space Humidity RMI206,Room Humidity Sensor,,,,206,,Space_Humidity_RMI
Space Humidity RMI326,Room Humidity Sensor,,,,326,,Space_Humidity_RMI
Space Humidity RMIC259,Room Humidity Sensor,,,,259,,Space_Humidity_RMIC
Space Humidity,Humidity Sensor,,,,,,Space_Humidity
Space Relative Humidity Corr NW,Humidity Sensor,,,,,,Space_Relative_Humidity_Corr_NW
Space Relative Humidity Local,Humidity Sensor,,,,,,Space_Relative_Humidity_Local
Space Relative Humidity RMI226,Room Humidity Sensor,,,,226,,Space_Relative_Humidity_RMI
Space Relative Humidity RMI305,Room Humidity Sensor,,,,305,,Space_Relative_Humidity_RMI
Space Relative Humidity RMI306,Room Humidity Sensor,,,,306,,Space_Relative_Humidity_RMI
Space Relative Humidity RMI308,Room Humidity Sensor,,,,308,,Space_Relative_Humidity_RMI
West Space Humidityscc2UIP20,Humidity Sensor,,2,,,20,West_Space_Humidityscc_UIP
Zone Humidity 2 CORRNWSHS,Humidity Sensor,,2,,,,Zone_Humidity_COR_RNW_SHS
Zone Humidity 2 Corr NESHS,Humidity Sensor,,2,,,,Zone_Humidity_Corr_NESHS
Zone Humidity Corr SESHS,Humidity Sensor,,,,,,Zone_Humidity_Corr_SESHS
Zone Humidity Corr SWSHS,Humidity Sensor,,,,,,Zone_Humidity_Corr_SWSHS
outdoorAirHumidityA1st Floor Area1,Outside Air Humidity,,1,1,,,outdoor_Air_HumidityA_st_Floor_Area
outdoorAirHumidityA2nd Floor Area1,Outside Air Humidity,,1,2,,,outdoor_Air_HumidityA_nd_Floor_Area
outdoorAirHumidityA5th Floor Area1,Outside Air Humidity,,1,5,,,outdoor_Air_HumidityA_th_Floor_Area
outdoorAirHumidityAAuditorium Area4,Outside Air Humidity,,4,1,,,outdoor_Air_HumidityA_Auditorium_Area
outdoorAirHumidityABasement Area2,Outside Air Humidity,,2,0,,,outdoor_Air_HumidityA_Basement_Area
spaceHumidityA1st Floor Area1,Humidity Sensor,,1,1,,,space_HumidityA_st_Floor_Area
spaceHumidityA2nd Floor Area1,Humidity Sensor,,1,2,,,space_HumidityA_nd_Floor_Area
spaceHumidityA5th Floor Area1,Humidity Sensor,,1,5,,,space_HumidityA_th_Floor_Area
spaceHumidityAAuditorium Area4,Humidity Sensor,,4,1,,,space_HumidityA_Auditorium_Area
spaceHumidityABasement Area2,Humidity Sensor,,2,0,,,space_HumidityA_Basement_Area
occupancyA1st Floor Area1,Occupancy Sensor,,1,1,,,occupancyA_st_Floor_Area
occupancyA2nd Floor Area1,Occupancy Sensor,,1,2,,,occupancyA_nd_Floor_Area
occupancyA5th Floor Area1,Occupancy Sensor,,1,5,,,occupancyA_th_Floor_Area
occupancyAAuditorium Area4,Occupancy Sensor,,4,1,,,occupancyA_Auditorium_Area
occupancyABasement Area2,Occupancy Sensor,,2,0,,,occupancyA_Basement_Area
occupancyStatus1st Floor Chilled Beam VAS2,Occupancy Sensor,,2,1,,,occupancy_Status_st_Floor_Chilled_Beam_VAS
occupancyStatus1st Foor Perimeter Devices VAS1,Occupancy Sensor,,1,1,,,occupancy_Status_st_Foor_Perimeter_Devices_VAS
occupancyStatus2nd Floor Chilled Beam Source VAS2,Occupancy Sensor,,2,2,,,occupancy_Status_nd_Floor_Chilled_Beam_Source_VAS
occupancyStatus2nd Floor Perimeter Devices VAS1,Occupancy Sensor,,1,2,,,occupancy_Status_nd_Floor_Perimeter_Devices_VAS
occupancyStatus5th Floor Chilled Beam VAS1,Occupancy Sensor,,1,5,,,occupancy_Status_th_Floor_Chilled_Beam_VAS
occupancyStatus5th Floor Perimeter Devices VAS2,Occupancy Sensor,,2,5,,,occupancy_Status_th_Floor_Perimeter_Devices_VAS
occupancyStatusA1st Floor Area1,Occupancy Sensor,,1,1,,,occupancy_StatusA_st_Floor_Area
occupancyStatusA2nd Floor Area1,Occupancy Sensor,,1,2,,,occupancy_StatusA_nd_Floor_Area
occupancyStatusA3rd Floor Area1,Occupancy Sensor,,1,3,,,occupancy_StatusA_rd_Floor_Area
occupancyStatusA5th Floor Area1,Occupancy Sensor,,1,5,,,occupancy_StatusA_th_Floor_Area
occupancyStatusAAuditorium Area4,Occupancy Sensor,,4,1,,,occupancy_StatusA_Auditorium_Area
occupancyStatusABasement Area2,Occupancy Sensor,,2,0,,,occupancy_StatusA_Basement_Area
occupancyStatusARoom 305 Area2,Occupancy Sensor,,2,,305,,occupancy_StatusA_Room_Area
occupancyStatusARoom 306 Area3,Occupancy Sensor,,3,,306,,occupancy_StatusA_Room_Area
occupancyStatusARoom 322 Area4,Occupancy Sensor,,4,,322,,occupancy_StatusA_Room_Area
occupancyStatusARoom 324 Area5,Occupancy Sensor,,5,,324,,occupancy_StatusA_Room_Area
occupancyStatusBasement Perimeter Devices2,Occupancy Sensor,,2,,,,occupancy_Status_Basement_Perimeter_Devices
occupancyStatusChilled Beam Source VAS3,Occupancy Sensor,,3,,,,occupancy_Status_Chilled_Beam_Source_VAS
occupancyStatusV3rd Floor CB VAS2,Occupancy Sensor,,2,3,,,occupancy_StatusV_rd_Floor_CB_VAS
occupancyStatusV3rd Floor Perimiter VAS3,Occupancy Sensor,,3,3,,,occupancy_StatusV_rd_Floor_Perimiter_VAS
East Space Temperaturescc2UIP33,Zone Temperature Sensor,,2,33,,,East_Space_Temperaturescc_UIP
RM511A Zone Temp 3,Room Temperature Sensor,,3,,511,,RM_A_Zone_Temp
RMI 524 Zone Temp 4,Room Temperature Sensor,,4,,524,,RMI_Zone_Temp
RMI1071 Space Temperature Local,Room Temperature Sensor,,,,1071,,RMI_Space_Temperature_Local
RMI1072 Space Temperature Local,Room Temperature Sensor,,,,1072,,RMI_Space_Temperature_Local
RMI108 Space Temperature Local,Room Temperature Sensor,,,,108,,RMI_Space_Temperature_Local
RMI1091 Space Temperature Local,Room Temperature Sensor,,,,1091,,RMI_Space_Temperature_Local
RMI1092 Space Temperature Local,Room Temperature Sensor,,,,1092,,RMI_Space_Temperature_Local
RMI501 Space Temperature Perimeter,Room Temperature Sensor,,,,501,,RMI_Space_Temperature_Perimeter
RMI501 Zone Temp 5,Room Temperature Sensor,,5,,501,,RMI_Zone_Temp
RMI502 Space Temperature Perimeter,Room Temperature Sensor,,,,502,,RMI_Space_Temperature_Perimeter
RMI502 Zone Temp 4,Room Temperature Sensor,,4,,502,,RMI_Zone_Temp
RMI503 Space Temperature Perimeter,Room Temperature Sensor,,,,503,,RMI_Space_Temperature_Perimeter
RMI503 Zone Temp 3,Room Temperature Sensor,,3,,503,,RMI_Zone_Temp
RMI504 Zone Temp 2,Room Temperature Sensor,,2,,504,,RMI_Zone_Temp
RMI505 Space Temperature Perimeter,Room Temperature Sensor,,,,505,,RMI_Space_Temperature_Perimeter
RMI506 Space Temperature Perimeter,Room Temperature Sensor,,,,506,,RMI_Space_Temperature_Perimeter
RMI506 Zone Temp 7,Room Temperature Sensor,,7,,506,,RMI_Zone_Temp
RMI507 Space Temperature Perimeter,Room Temperature Sensor,,,,507,,RMI_Space_Temperature_Perimeter
RMI507 Zone Temp 6,Room Temperature Sensor,,6,,507,,RMI_Zone_Temp
RMI508 Space Temperature Perimeter,Room Temperature Sensor,,,,508,,RMI_Space_Temperature_Perimeter
RMI508 Zone Temp 5,Room Temperature Sensor,,5,,508,,RMI_Zone_Temp
RMI509 Space Temperature Perimeter,Room Temperature Sensor,,,,509,,RMI_Space_Temperature_Perimeter
RMI509 Zone Temp 4,Room Temperature Sensor,,4,,509,,RMI_Zone_Temp
RMI511A Space Temperature Perimeter,Room Temperature Sensor,,,,511,,RMI_A_Space_Temperature_Perimeter
RMI511B Space Temperature Perimeter,Room Temperature Sensor,,,,511,,RMI_B_Space_Temperature_Perimeter
RMI511B Zone Temp 2,Room Temperature Sensor,,2,,511,,RMI_B_Zone_Temp
RMI512 Space Temperature Perimeter,Room Temperature Sensor,,,,512,,RMI_Space_Temperature_Perimeter
RMI513 Zone Temp 2,Room Temperature Sensor,,2,,513,,RMI_Zone_Temp
RMI521 Zone Temp 2,Room Temperature Sensor,,2,,521,,RMI_Zone_Temp
RMI522 Zone Temp 3,Room Temperature Sensor,,3,,522,,RMI_Zone_Temp
RMI526 Zone Temp 5,Room Temperature Sensor,,5,,526,,RMI_Zone_Temp
RMI527 Zone Temp 8,Room Temperature Sensor,,8,,527,,RMI_Zone_Temp
RMI528 Zone Temp 6,Room Temperature Sensor,,6,,528,,RMI_Zone_Temp
RMI530 Space Temperature,Room Temperature Sensor,,,,530,,RMI_Space_Temperature
RMI534 Space Temperature Perimeter,Room Temperature Sensor,,,,534,,RMI_Space_Temperature_Perimeter
RMI536 Space Temperature Perimeter,Room Temperature Sensor,,,,536,,RMI_Space_Temperature_Perimeter
RMI536 Zone Temp 2,Room Temperature Sensor,,2,,536,,RMI_Zone_Temp
RMI542 Zone Temp 2,Room Temperature Sensor,,2,,542,,RMI_Zone_Temp
RMI552 Zone Temp 3,Room Temperature Sensor,,3,,552,,RMI_Zone_Temp
RMI561 Zone Temp 3,Room Temperature Sensor,,3,,561,,RMI_Zone_Temp
RMIC552 Zone Temp 3,Room Temperature Sensor,,3,,552,,RMIC_Zone_Temp
RMIC552 Zone Temp 7,Room Temperature Sensor,,7,,552,,RMIC_Zone_Temp
RMIC557 Zone Temp 6,Room Temperature Sensor,,6,,557,,RMIC_Zone_Temp
RMIC557 Zone Temp 8,Room Temperature Sensor,,8,,557,,RMIC_Zone_Temp
RmI504 Space Temperature Perimeter,Room Temperature Sensor,,,,504,,RmI_Space_Temperature_Perimeter
RmI521 Space Temperature,Room Temperature Sensor,,,,521,,RmI_Space_Temperature
RmI522 Space Temperature,Room Temperature Sensor,,,,522,,RmI_Space_Temperature
RmI524 Space Temperature,Room Temperature Sensor,,,,524,,RmI_Space_Temperature
RmI526 Space Temperature,Room Temperature Sensor,,,,526,,RmI_Space_Temperature
RmI528 Space Temperature,Room Temperature Sensor,,,,528,,RmI_Space_Temperature
RmI532 Space Temperature,Room Temperature Sensor,,,,532,,RmI_Space_Temperature
RmI532 Zone Temp 2,Room Temperature Sensor,,2,,532,,RmI_Zone_Temp
TEMP1 Perm Temp Rm 230,Room Temperature Sensor,,1,,230,,TEMP_Perm_Temp_Rm
TEMP1 Space Temperature Perm Rm I228,Room Temperature Sensor,,1,,228,,TEMP_Space_Temperature_Perm_Rm_I
TEMP1 Space Temperature RM 212,Room Temperature Sensor,,1,,212,,TEMP_Space_Temperature_RM
TEMP1 Space Temperature RM I322,Room Temperature Sensor,,1,,322,,TEMP_Space_Temperature_RM_I
TEMP1 Space Temperature RME220,Room Temperature Sensor,,1,,220,,TEMP_Space_Temperature_RME
TEMP1 Space Temperature RMI013,Room Temperature Sensor,,1,,13,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI020,Room Temperature Sensor,,1,,20,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI102,Room Temperature Sensor,,1,,102,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI103,Room Temperature Sensor,,1,,103,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI106,Room Temperature Sensor,,1,,106,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI203,Room Temperature Sensor,,1,,203,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI204,Room Temperature Sensor,,1,,204,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI208,Room Temperature Sensor,,1,,208,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMI308,Room Temperature Sensor,,1,,308,,TEMP_Space_Temperature_RMI
TEMP1 Space Temperature RMIC058,Room Temperature Sensor,,1,,58,,TEMP_Space_Temperature_RMIC
TEMP1 Space Temperature RMIC150A,Room Temperature Sensor,,1,,150,,TEMP_Space_Temperature_RMIC_A
TEMP1 Space Temperature RMIC259,Room Temperature Sensor,,1,,259,,TEMP_Space_Temperature_RMIC
TEMP1 Space Temperature RMIC276,Room Temperature Sensor,,1,,276,,TEMP_Space_Temperature_RMIC
TEMP1 Space Temperature RmI011,Room Temperature Sensor,,1,,11,,TEMP_Space_Temperature_RmI
TEMP1 Space TemperatureRMI050,Room Temperature Sensor,,1,,50,,TEMP_Space_Temperature_RMI
TEMP2 Perm Temperature Rm 232,Room Temperature Sensor,,2,,232,,TEMP_Perm_Temperature_Rm
TEMP2 Space Temperature Perm RM I226,Room Temperature Sensor,,2,,226,,TEMP_Space_Temperature_Perm_RM_I
TEMP2 Space Temperature RM 211,Room Temperature Sensor,,2,,211,,TEMP_Space_Temperature_RM
TEMP2 Space Temperature RME222,Room Temperature Sensor,,2,,222,,TEMP_Space_Temperature_RME
TEMP2 Space Temperature RMI015,Room Temperature Sensor,,2,,15,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RMI024,Room Temperature Sensor,,2,,24,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RMI101,Room Temperature Sensor,,2,,101,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RMI105,Room Temperature Sensor,,2,,105,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RMI202,Room Temperature Sensor,,2,,202,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RMI207,Room Temperature Sensor,,2,,207,,TEMP_Space_Temperature_RMI
TEMP2 Space Temperature RmI007,Room Temperature Sensor,,2,,7,,TEMP_Space_Temperature_RmI
TEMP3 Space Temperature Perm RM I224,Room Temperature Sensor,,3,,224,,TEMP_Space_Temperature_Perm_RM_I
TEMP3 Space Temperature RM 210,Room Temperature Sensor,,3,,210,,TEMP_Space_Temperature_RM
TEMP3 Space Temperature RMI017,Room Temperature Sensor,,3,,17,,TEMP_Space_Temperature_RMI
TEMP3 Space Temperature RMI104,Room Temperature Sensor,,3,,104,,TEMP_Space_Temperature_RMI
TEMP3 Space Temperature RMI201,Room Temperature Sensor,,3,,201,,TEMP_Space_Temperature_RMI
TEMP3 Space Temperature RMI206,Room Temperature Sensor,,3,,206,,TEMP_Space_Temperature_RMI
TEMP3 Space Temperature RmI007A,Room Temperature Sensor,,3,,7,,TEMP_Space_Temperature_RmI_A
TEMP4 Space Temperature RM 209,Room Temperature Sensor,,4,,209,,TEMP_Space_Temperature_RM
TEMP4 Space Temperature RMI019,Room Temperature Sensor,,4,,19,,TEMP_Space_Temperature_RMI
TEMP4 Space Temperature RMI205,Room Temperature Sensor,,4,,205,,TEMP_Space_Temperature_RMI
West Space Temperaturescc2UIP34,Zone Temperature Sensor,,2,,,34,West_Space_Temperaturescc_UIP
Zone 2 Temp Corr 252,Room Temperature Sensor,,2,,252,,Zone_Temp_Corr
Zone 2 Temp RMCorr,Zone Temperature Sensor,,2,,,,Zone_Temp_RMCorr
Zone Temp 2 RM 242,Room Temperature Sensor,,2,,242,,Zone_Temp_RM
Zone Temp 2 RM I232,Room Temperature Sensor,,2,,232,,Zone_Temp_RM_I
Zone Temp 2 RME222,Room Temperature Sensor,,2,,222,,Zone_Temp_RME
Zone Temp 2 RMI007,Room Temperature Sensor,,2,,7,,Zone_Temp_RMI
Zone Temp 2 RMI015,Room Temperature Sensor,,2,,15,,Zone_Temp_RMI
Zone Temp 2 RMI024,Room Temperature Sensor,,2,,24,,Zone_Temp_RMI
Zone Temp 2 RMI032,Room Temperature Sensor,,2,,32,,Zone_Temp_RMI
Zone Temp 2 RMI108,Room Temperature Sensor,,2,,108,,Zone_Temp_RMI
Zone Temp 2 RMI122,Room Temperature Sensor,,2,,122,,Zone_Temp_RMI
Zone Temp 2 RMI209,Room Temperature Sensor,,2,,209,,Zone_Temp_RMI
