original label,tagset,ahu,hvac_zone,floor,room,unit,parsed tagset
economizerDisableFixedDewPointABasement Area2,Economizer Disable Fixed Dew Point,,2,0,,,economizer_Disable_Fixed_Dew_PointA_Basement_Area
economizerDisableFixedDryBulbA1st Floor Area1,Economizer Disable Fixed Temperature,,1,1,,,economizer_Disable_Fixed_Dry_BulbA_st_Floor_Area
economizerDisableFixedDryBulbA2nd Floor Area1,Economizer Disable Fixed Temperature,,1,2,,,economizer_Disable_Fixed_Dry_BulbA_nd_Floor_Area
economizerDisableFixedDryBulbA5th Floor Area1,Economizer Disable Fixed Temperature,,1,5,,,economizer_Disable_Fixed_Dry_BulbA_th_Floor_Area
economizerDisableFixedDryBulbAAuditorium Area4,Economizer Disable Fixed Temperature,,4,1,,,economizer_Disable_Fixed_Dry_BulbA_Auditorium_Area
economizerDisableFixedDryBulbABasement Area2,Economizer Disable Fixed Temperature,,2,0,,,economizer_Disable_Fixed_Dry_BulbA_Basement_Area
economizerDisableFixedEnthalpyA1st Floor Area1,Economizer Disable Fixed Enthalpy,,1,1,,,economizer_Disable_Fixed_EnthalpyA_st_Floor_Area
economizerDisableFixedEnthalpyA2nd Floor Area1,Economizer Disable Fixed Enthalpy,,1,2,,,economizer_Disable_Fixed_EnthalpyA_nd_Floor_Area
economizerDisableFixedEnthalpyA5th Floor Area1,Economizer Disable Fixed Enthalpy,,1,5,,,economizer_Disable_Fixed_EnthalpyA_th_Floor_Area
economizerDisableFixedEnthalpyAAuditorium Area4,Economizer Disable Fixed Enthalpy,,4,1,,,economizer_Disable_Fixed_EnthalpyA_Auditorium_Area
economizerDisableFixedEnthalpyABasement Area2,Economizer Disable Fixed Enthalpy,,2,0,,,economizer_Disable_Fixed_EnthalpyA_Basement_Area
economizerEnableDifferentialDryBulbA1st Floor Area1,Economizer Enable Differential Temperature,,1,1,,,economizer_Enable_Differential_Dry_BulbA_st_Floor_Area
economizerEnableDifferentialDryBulbA2nd Floor Area1,Economizer Enable Differential Temperature,,1,2,,,economizer_Enable_Differential_Dry_BulbA_nd_Floor_Area
economizerEnableDifferentialDryBulbA5th Floor Area1,Economizer Enable Differential Temperature,,1,5,,,economizer_Enable_Differential_Dry_BulbA_th_Floor_Area
economizerEnableDifferentialDryBulbAAuditorium Area4,Economizer Enable Differential Temperature,,4,1,,,economizer_Enable_Differential_Dry_BulbA_Auditorium_Area
economizerEnableDifferentialDryBulbABasement Area2,Economizer Enable Differential Temperature,,2,0,,,economizer_Enable_Differential_Dry_BulbA_Basement_Area
economizerEnableDifferentialEnthalpyA1st Floor Area1,Economizer Enable Differential Enthalpy,,1,1,,,economizer_Enable_Differential_EnthalpyA_st_Floor_Area
economizerEnableDifferentialEnthalpyA2nd Floor Area1,Economizer Enable Differential Enthalpy,,1,2,,,economizer_Enable_Differential_EnthalpyA_nd_Floor_Area
economizerEnableDifferentialEnthalpyA5th Floor Area1,Economizer Enable Differential Enthalpy,,1,5,,,economizer_Enable_Differential_EnthalpyA_th_Floor_Area
economizerEnableDifferentialEnthalpyAAuditorium Area4,Economizer Enable Differential Enthalpy,,4,1,,,economizer_Enable_Differential_EnthalpyA_Auditorium_Area
economizerEnableDifferentialEnthalpyABasement Area2,Economizer Enable Differential Enthalpy,,2,0,,,economizer_Enable_Differential_EnthalpyA_Basement_Area
economizerEnableFixedDewPointA1st Floor Area1,Economizer Enable Fixed Dew Point,,1,1,,,economizer_Enable_Fixed_Dew_PointA_st_Floor_Area
economizerEnableFixedDewPointA2nd Floor Area1,Economizer Enable Fixed Dew Point,,1,2,,,economizer_Enable_Fixed_Dew_PointA_nd_Floor_Area
economizerEnableFixedDewPointA5th Floor Area1,Economizer Enable Fixed Dew Point,,1,5,,,economizer_Enable_Fixed_Dew_PointA_th_Floor_Area
economizerEnableFixedDewPointAAuditorium Area4,Economizer Enable Fixed Dew Point,,4,1,,,economizer_Enable_Fixed_Dew_PointA_Auditorium_Area
economizerEnableFixedDewPointABasement Area2,Economizer Enable Fixed Dew Point,,2,0,,,economizer_Enable_Fixed_Dew_PointA_Basement_Area
economizerEnableFixedDryBulbA1st Floor Area1,Economizer Enable Fixed Temperature,,1,1,,,economizer_Enable_Fixed_Dry_BulbA_st_Floor_Area
economizerEnableFixedDryBulbA2nd Floor Area1,Economizer Enable Fixed Temperature,,1,2,,,economizer_Enable_Fixed_Dry_BulbA_nd_Floor_Area
economizerEnableFixedDryBulbA5th Floor Area1,Economizer Enable Fixed Temperature,,1,5,,,economizer_Enable_Fixed_Dry_BulbA_th_Floor_Area
economizerEnableFixedDryBulbAAuditorium Area4,Economizer Enable Fixed Temperature,,4,1,,,economizer_Enable_Fixed_Dry_BulbA_Auditorium_Area
economizerEnableFixedDryBulbABasement Area2,Economizer Enable Fixed Temperature,,2,0,,,economizer_Enable_Fixed_Dry_BulbA_Basement_Area
economizerEnableFixedEnthalpyA1st Floor Area1,Economizer Enable Fixed Enthalpy,,1,1,,,economizer_Enable_Fixed_EnthalpyA_st_Floor_Area
economizerEnableFixedEnthalpyA2nd Floor Area1,Economizer Enable Fixed Enthalpy,,1,2,,,economizer_Enable_Fixed_EnthalpyA_nd_Floor_Area
economizerEnableFixedEnthalpyA5th Floor Area1,Economizer Enable Fixed Enthalpy,,1,5,,,economizer_Enable_Fixed_EnthalpyA_th_Floor_Area
economizerEnableFixedEnthalpyAAuditorium Area4,Economizer Enable Fixed Enthalpy,,4,1,,,economizer_Enable_Fixed_EnthalpyA_Auditorium_Area
economizerEnableFixedEnthalpyABasement Area2,Economizer Enable Fixed Enthalpy,,2,0,,,economizer_Enable_Fixed_EnthalpyA_Basement_Area
occupiedDifferenceA1st Floor Area1,Unknown,,1,1,,,occupied_DifferenceA_st_Floor_Area
occupiedDifferenceA2nd Floor Area1,Unknown,,1,2,,,occupied_DifferenceA_nd_Floor_Area
occupiedDifferenceA5th Floor Area1,Unknown,,1,5,,,occupied_DifferenceA_th_Floor_Area
occupiedDifferenceAAuditorium Area4,Unknown,,4,1,,,occupied_DifferenceA_Auditorium_Area
occupiedDifferenceABasement Area2,Unknown,,2,0,,,occupied_DifferenceA_Basement_Area
occupiedOffsetA1st Floor Area1,Unknown,,1,1,,,occupied_OffsetA_st_Floor_Area
occupiedOffsetA2nd Floor Area1,Unknown,,1,2,,,occupied_OffsetA_nd_Floor_Area
occupiedOffsetA5th Floor Area1,Unknown,,1,5,,,occupied_OffsetA_th_Floor_Area
occupiedOffsetABasement Area2,Unknown,,2,0,,,occupied_OffsetA_Basement_Area
standbyOffsetA1st Floor Area1,Unknown,,1,1,,,standby_OffsetA_st_Floor_Area
standbyOffsetA2nd Floor Area1,Unknown,,1,2,,,standby_OffsetA_nd_Floor_Area
standbyOffsetA5th Floor Area1,Unknown,,1,5,,,standby_OffsetA_th_Floor_Area
standbyOffsetAAuditorium Area4,Unknown,,4,1,,,standby_OffsetA_Auditorium_Area
standbyOffsetABasement Area2,Unknown,,2,0,,,standby_OffsetA_Basement_Area
unoccupiedDifferenceA1st Floor Area1,Unknown,,1,1,,,unoccupied_DifferenceA_st_Floor_Area
unoccupiedDifferenceA2nd Floor Area1,Unknown,,1,2,,,unoccupied_DifferenceA_nd_Floor_Area
unoccupiedDifferenceA5th Floor Area1,Unknown,,1,5,,,unoccupied_DifferenceA_th_Floor_Area
unoccupiedDifferenceAAuditorium Area4,Unknown,,4,1,,,unoccupied_DifferenceA_Auditorium_Area
unoccupiedDifferenceABasement Area2,Unknown,,2,0,,,unoccupied_DifferenceA_Basement_Area
ventRatioLimitAhuV1st Floor Chilled Beam VAS2,Ventilation Ratio Limit,,2,1,,,vent_Ratio_Limit_AhuV_st_Floor_Chilled_Beam_VAS
ventRatioLimitAhuV1st Foor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,1,,,vent_Ratio_Limit_AhuV_st_Foor_Perimeter_Devices_VAS
ventRatioLimitAhuV2nd Floor Chilled Beam Source VAS2,Ventilation Ratio Limit,,2,2,,,vent_Ratio_Limit_AhuV_nd_Floor_Chilled_Beam_Source_VAS
ventRatioLimitAhuV2nd Floor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,2,,,vent_Ratio_Limit_AhuV_nd_Floor_Perimeter_Devices_VAS
ventRatioLimitAhuV5th Floor Chilled Beam VAS1,Ventilation Ratio Limit,,1,5,,,vent_Ratio_Limit_AhuV_th_Floor_Chilled_Beam_VAS
ventRatioLimitAhuV5th Floor Perimeter Devices VAS2,Ventilation Ratio Limit,,2,5,,,vent_Ratio_Limit_AhuV_th_Floor_Perimeter_Devices_VAS
ventRatioLimitAhuVBasement Perimeter Devices2,Ventilation Ratio Limit,,2,0,,,vent_Ratio_Limit_AhuV_Basement_Perimeter_Devices
ventRatioLimitAhuVChilled Beam Source VAS3,Ventilation Ratio Limit,,3,,,,vent_Ratio_Limit_AhuV_Chilled_Beam_Source_VAS
ventRatioLimitVavV1st Floor Chilled Beam VAS2,Ventilation Ratio Limit,,2,1,,,vent_Ratio_Limit_VavV_st_Floor_Chilled_Beam_VAS
ventRatioLimitVavV1st Foor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,1,,,vent_Ratio_Limit_VavV_st_Foor_Perimeter_Devices_VAS
ventRatioLimitVavV2nd Floor Chilled Beam Source VAS2,Ventilation Ratio Limit,,2,2,,,vent_Ratio_Limit_VavV_nd_Floor_Chilled_Beam_Source_VAS
ventRatioLimitVavV2nd Floor Perimeter Devices VAS1,Ventilation Ratio Limit,,1,2,,,vent_Ratio_Limit_VavV_nd_Floor_Perimeter_Devices_VAS
ventRatioLimitVavV5th Floor Chilled Beam VAS1,Ventilation Ratio Limit,,1,5,,,vent_Ratio_Limit_VavV_th_Floor_Chilled_Beam_VAS
ventRatioLimitVavV5th Floor Perimeter Devices VAS2,Ventilation Ratio Limit,,2,5,,,vent_Ratio_Limit_VavV_th_Floor_Perimeter_Devices_VAS
ventRatioLimitVavVBasement Perimeter Devices2,Ventilation Ratio Limit,,2,0,,,vent_Ratio_Limit_VavV_Basement_Perimeter_Devices
ventRatioLimitVavVChilled Beam Source VAS3,Ventilation Ratio Limit,,3,,,,vent_Ratio_Limit_VavV_Chilled_Beam_Source_VAS
2 Mag CHW Return Temp,Chilled Water Return Temperature,,2,,,,Mag_CHW_Return_Temp
2 Mag CHW Supply Temp,Chilled Water Discharge Temperature,,2,,,,Mag_CHW_Supply_Temp
2 Mag HW Return Temp,Hot Water Return Temperature,,2,,,,Mag_HW_Return_Temp
2 Mag HW Supply Temp,Hot Water Supply Temperature,,2,,,,Mag_HW_Supply_Temp
2nd Floor CHW Return Temp,Chilled Water Return Temperature,,,2,,,nd_Floor_CHW_Return_Temp
2nd Floor CHW Supply Temp,Chilled Water Discharge Temperature,,,2,,,nd_Floor_CHW_Supply_Temp
2nd Floor HW Return Temp,Hot Water Supply Temperature,,,2,,,nd_Floor_HW_Return_Temp
2nd Floor HW Supply Temp,Chilled Water Discharge Temperature,,,2,,,nd_Floor_HW_Supply_Temp
AHU 3 Supply Fan Temp,Discharge Air Temperature Sensor,3,,,,,AHU_Supply_Fan_Temp
AHU1 PreHeat Coil Temp,PreHeat Coil Leaving Air Temperature Sensor,1,,,,,AHU_Pre_Heat_Coil_Temp
AHU2 PreHeat Coil Temp,PreHeat Coil Leaving Air Temperature Sensor,2,,,,,AHU_Pre_Heat_Coil_Temp
AHU3 CHW Return Temppgm2UIP09,Chilled Water Return Temperature,3,2,,,9,AHU_CHW_Return_Temppgm_UIP
AHU3 HW Supply Temppgm2UIP11,Hot Water Supply Temperature,3,2,,,11,AHU_HW_Supply_Temppgm_UIP
CB CHW Return Temp,Chilled Water Return Temperature,,,,,,CB_CHW_Return_Temp
CB CHW Supply Temp,Chilled Water Discharge Temperature,,,,,,CB_CHW_Supply_Temp
CB Return Temp RMI308,Chilled Water Return Temperature,,,,308,,CB_Return_Temp_RMI
CB Supply Temp RMI308,Chilled Water Discharge Temperature,,,,308,,CB_Supply_Temp_RMI
CB Supply Temp,Chilled Water Discharge Temperature,,,,,,CB_Supply_Temp
CB228 CHW Return Temp,Chilled Water Return Temperature,,,,228,,CB_CHW_Return_Temp
CB228 CHW Supply Temp,Chilled Water Discharge Temperature,,,,228,,CB_CHW_Supply_Temp
CHW Coil Entering Tempscc2UIP06,Chilled Water Discharge Temperature,,2,,,6,CHW_Coil_Entering_Tempscc_UIP
CHW Main Return Temp T4,Chilled Water Return Temperature,,4,,,,CHW_Main_Return_Temp_T
CHW Main Supply Temp T3,Chilled Water Discharge Temperature,,3,,,,CHW_Main_Supply_Temp_T
CHW Return Mag Temp,Chilled Water Return Temperature,,,,,,CHW_Return_Mag_Temp
CHW Supply Mag Temp,Chilled Water Discharge Temperature,,,,,,CHW_Supply_Mag_Temp
CHW System Return Temppgm2UIP20,Chilled Water Return Temperature,,2,,,20,CHW_System_Return_Temppgm_UIP
CHW System Supply Temppgm2UIP19,Chilled Water Discharge Temperature,,2,,,19,CHW_System_Supply_Temppgm_UIP
CHWCoilLeavingAirTempscc2UIP01,Chilled Water Discharge Temperature,,2,,,1,CHW_Coil_Leaving_Air_Tempscc_UIP
Chilled Water Return Temperature,Chilled Water Return Temperature,,,,,,Chilled_Water_Return_Temperature
Chilled Water Supply Temperature,Chilled Water Discharge Temperature,,,,,,Chilled_Water_Supply_Temperature
ChilledBeamCHWReturnTemppgm2UIP14,Chilled Water Return Temperature,,2,,,14,Chilled_Beam_CHW_Return_Temppgm_UIP
ChilledBeamCHWSupplyTemppgm2UIP13,Chilled Water Discharge Temperature,,2,,,13,Chilled_Beam_CHW_Supply_Temppgm_UIP
Cooling Coil DA Tempdac1UIP26,Cooling Coil Discharge Air Temperature Sensor,,1,,,26,Cooling_Coil_DA_Tempdac_UIP
Cooling Coil DA Tempdac2UIP26,Cooling Coil Discharge Air Temperature Sensor,,2,,,26,Cooling_Coil_DA_Tempdac_UIP
CoolingEnteringWaterTempdac2UIP16,Ice Tank Entering Water Temperature Sensor,,2,,,16,Cooling_Entering_Water_Tempdac_UIP
CoolingEnterngWaterTempdac3UIP16,Ice Tank Entering Water Temperature Sensor,,3,,,16,Cooling_Enterng_Water_Tempdac_UIP
CoolingLeavingWaterTempdac1UIP16,Ice Tank Leaving Water Temperature Sensor,,1,,,16,Cooling_Leaving_Water_Tempdac_UIP
Discharge Air Tempdac1UIP06,Discharge Air Temperature Sensor,,1,,,6,Discharge_Air_Tempdac_UIP
Discharge Air Tempdac2UIP06,Discharge Air Temperature Sensor,,2,,,6,Discharge_Air_Tempdac_UIP
Discharge Air Tempdac3UIP06,Discharge Air Temperature Sensor,,3,,,6,Discharge_Air_Tempdac_UIP
Discharge Air Temperature,Discharge Air Temperature Sensor,,,,,,Discharge_Air_Temperature
Discharge Air Temperaturedac1,Discharge Air Temperature Sensor,,1,,,,Discharge_Air_Temperaturedac
Discharge Air Temperaturedac2,Discharge Air Temperature Sensor,,2,,,,Discharge_Air_Temperaturedac
Discharge Air Temperaturedac3,Discharge Air Temperature Sensor,,3,,,,Discharge_Air_Temperaturedac
Discharge Air Temperaturedac4,Discharge Air Temperature Sensor,,4,,,,Discharge_Air_Temperaturedac
Discharge Air Temperaturescc2,Discharge Air Temperature Sensor,,2,,,,Discharge_Air_Temperaturescc
Discharge Air Temperaturewshp1,Discharge Air Temperature Sensor,,1,,,,Discharge_Air_Temperaturewshp
Discharge Air Temperaturewshp2,Discharge Air Temperature Sensor,,2,,,,Discharge_Air_Temperaturewshp
ER PHRH Water Temppgm2UIP03,Unknown,,2,,,3,ER_PHRH_Water_Temppgm_UIP
EX Air Temp From ERWdac4UIP01,Unknown,,4,,,1,EX_Air_Temp_From_ERWdac_UIP
Enter CDQ Regen Tempscc2UIP23,Unknown,,2,,,23,Enter_CDQ_Regen_Tempscc_UIP
Enter CDQ Supply Tempscc2UIP25,Unknown,,2,,,25,Enter_CDQ_Supply_Tempscc_UIP
Entering Water Temperaturewshp1,Ice Tank Entering Water Temperature Sensor,,1,,,,Entering_Water_Temperaturewshp
Entering Water Temperaturewshp2,Ice Tank Entering Water Temperature Sensor,,2,,,,Entering_Water_Temperaturewshp
Exhaust Air Tempdac4UIP22,Exhaust Air Temperature Sensor,,4,,,22,Exhaust_Air_Tempdac_UIP
FCU CHW Return Temppgm2UIP16,Chilled Water Return Temperature,,2,,,16,FCU_CHW_Return_Temppgm_UIP
FP VAV Hot Water Return Temp,Hot Water Return Temperature,,,,,,FP_VAV_Hot_Water_Return_Temp
FP VAV Hot Water Supply Temp,Hot Water Supply Temperature,,,,,,FP_VAV_Hot_Water_Supply_Temp
FPVAV Hot Water Return Temp,Hot Water Return Temperature,,,,,,FP_VAV_Hot_Water_Return_Temp
FPVAV Hot Water Supply Temp,Hot Water Supply Temperature,,,,,,FP_VAV_Hot_Water_Supply_Temp
Glycol Enterng WaterTempdac3UIP17,Unknown,,3,,,17,Glycol_Enterng_Water_Tempdac_UIP
HW Coil Entering Tempscc2UIP36,Hot Water Coil Entering Temperature,,2,,,36,HW_Coil_Entering_Tempscc_UIP
HW Main Return Temp T2,Hot Water Return Temperature,,2,,,,HW_Main_Return_Temp_T
HW Main Supply Temp T1,Hot Water Supply Temperature,,1,,,,HW_Main_Supply_Temp_T
HW Return Mag Temp1,Hot Water Return Temperature,,1,,,,HW_Return_Mag_Temp
HW Return Temp RM I324,Hot Water Return Temperature,,,,324,,HW_Return_Temp_RM_I
HW Return Temperature Local,Hot Water Return Temperature,,,,,,HW_Return_Temperature_Local
HW Return Temppgm1UIP02,Hot Water Return Temperature,,1,,,2,HW_Return_Temppgm_UIP
HW Supply Mag Temp1,Hot Water Supply Temperature,,1,,,,HW_Supply_Mag_Temp
HW Supply Temp RM I324,Hot Water Supply Temperature,,,,,324,HW_Supply_Temp_RM_I
HW Supply Temperature Local,Hot Water Supply Temperature,,,,,,HW_Supply_Temperature_Local
HW Supply Temppgm1UIP01,Hot Water Supply Temperature,,1,,,1,HW_Supply_Temppgm_UIP
HW VAV Return Temp,Hot Water Return Temperature,,,,,,HW_VAV_Return_Temp
HW VAV Supply Temp,Hot Water Supply Temperature,,,,,,HW_VAV_Supply_Temp
HWS Temp,Hot Water Supply Temperature,,,,,,HWS_Temp
Hot Water ReturnTemperature,Hot Water Return Temperature,,,,,,Hot_Water_Return_Temperature
Hot Water Supply Temperature,Hot Water Supply Temperature,,,,,,Hot_Water_Supply_Temperature
Leave CDQ Regen Tempscc2UIP29,Unknown,,2,,,29,Leave_CDQ_Regen_Tempscc_UIP
Leave CDQ Supply Tempscc2UIP27,Unknown,,2,,,27,Leave_CDQ_Supply_Tempscc_UIP
Leaving Water Temperaturewshp1,Ice Tank Leaving Water Temperature Sensor,,1,,,,Leaving_Water_Temperaturewshp
Leaving Water Temperaturewshp2,Ice Tank Leaving Water Temperature Sensor,,2,,,,Leaving_Water_Temperaturewshp
Medium Temp HW Returnpgm1UIP24,Hot Water Return Temperature,,1,,,24,Medium_Temp_HW_Returnpgm_UIP
Medium Temp HW Supplypgm1UIP23,Hot Water Supply Temperature,,1,,,23,Medium_Temp_HW_Supplypgm_UIP
Mixed Air Tempdac1UIP03,Mixed Air Temperature Sensor,,1,,,3,Mixed_Air_Tempdac_UIP
Mixed Air Tempdac2UIP03,Mixed Air Temperature Sensor,,2,,,3,Mixed_Air_Tempdac_UIP
Mixed Air Tempdac3UIP03,Mixed Air Temperature Sensor,,3,,,3,Mixed_Air_Tempdac_UIP
Mixed Air Temperature Localscc2,Mixed Air Temperature Sensor,,2,,,,Mixed_Air_Temperature_Localscc
Mixed Air Tempscc2UIP03,Mixed Air Temperature Sensor,,2,,,3,Mixed_Air_Tempscc_UIP
PreheatCoilLeave AirTempscc2UIP02,PreHeat Coil Leaving Air Temperature Sensor,,2,,,2,Preheat_Coil_Leave_Air_Tempscc_UIP
PreheatLeavingWaterTempdac3UIP15,PreHeat Coil Leaving Water Temperature Sensor,,3,,,15,Preheat_Leaving_Water_Tempdac_UIP
Pump CHW Supply Temppgm2UIP15,Chilled Water Discharge Temperature,,2,,,15,Pump_CHW_Supply_Temppgm_UIP
Return Air Tempdac1UIP28,Return Air Temperature Sensor,,1,,,28,Return_Air_Tempdac_UIP
Return Air Tempdac2UIP28,Return Air Temperature Sensor,,2,,,28,Return_Air_Tempdac_UIP
Return Air Tempdac3UIP22,Return Air Temperature Sensor,,3,,,22,Return_Air_Tempdac_UIP
Return Air Tempscc2UIP15,Return Air Temperature Sensor,,2,,,15,Return_Air_Tempscc_UIP
Temp 2 BAS,Unknown,,2,,,,Temp_BAS
Temp 3 BAS,Unknown,,3,,,,Temp_BAS
VAV 211 HW Return Temp,Hot Water Return Temperature,,,,,211,VAV_HW_Return_Temp
VAV 211 HW Supply Temp,Hot Water Supply Temperature,,,,,211,VAV_HW_Supply_Temp
VAV 26 HW Return Temp,Hot Water Return Temperature,,,,,26,VAV_HW_Return_Temp
VAV 26 HW Supply Temp,Hot Water Supply Temperature,,,,,26,VAV_HW_Supply_Temp
VAV HW Return Temp,Hot Water Return Temperature,,,,,,VAV_HW_Return_Temp
VAV HW Supply Temp,Hot Water Supply Temperature,,,,,,VAV_HW_Supply_Temp
WTS1 Chiller CHWS Temp,Chilled Water Discharge Temperature,,1,,,,WTS_Chiller_CHWS_Temp
WTS1 Chiller CHWS Temppgm3UIP07,Chilled Water Discharge Temperature,,1,,,7,WTS_Chiller_CHWS_Temppgm_UIP
WTS2 Ice Tank Entering Temp,Ice Tank Entering Water Temperature Sensor,,2,,,,WTS_Ice_Tank_Entering_Temp
WTS3 Ice Tank Leaving Temp,Ice Tank Leaving Water Temperature Sensor,,3,,,,WTS_Ice_Tank_Leaving_Temp
WTS4 AHU3 Entering GLY Temp,Unknown,3,4,,,,WTS_AHU_Entering_GLY_Temp